series_id,fund_name,lei,isin,isin_source,figi,share_class_figi,figi_ticker,class_id,class_name,resolution
S000076880,AB Ultra Short Income ETF,254900LNMZU3RC64M909,US00039J1034,SEC-NPORT,BBG0184FKRZ3,BBG0184FKT34,YEAR,,,unresolved
S000077042,Innovator Uncapped Accelerated U.S. Equity ETF,5493008QV1AON5H1AG07,US45783Y6995,GLEIF,BBG018WBYLF1,BBG018WBYMB3,XUSP,,,unresolved
S000077050,T. Rowe Price Floating Rate ETF,5493005Y3VRUR59CUG92,US87283Q8832,SEC-NPORT,BBG01BJBL041,BBG01BJBL0Z7,TFLR,,,unresolved
S000077051,T. Rowe Price U.S. High Yield ETF,549300BA4BIBITWKOB05,US87283Q8758,SEC-NPORT,BBG019R1PH75,BBG019R1PJ26,THYF,,,unresolved
S000077070,JPMorgan Active Growth ETF,5493001GSJ14WQX68P70,US46654Q6098,SEC-NPORT,BBG018R2GM74,BBG018R2GN27,JGRO,,,unresolved
S000077117,Innovator Equity Managed Floor ETF,549300J7NVPF4YSWOG58,US45783Y6730,GLEIF,BBG01B90HDS7,BBG01B90HFN7,SFLR,,,unresolved
S000077118,Innovator Nasdaq-100 Managed Floor ETF,549300KVS5PEFJEQ9R41,US45783Y6813,GLEIF,BBG01L5G1SY1,BBG01L5G1TT5,QFLR,,,unresolved
S000077182,PIMCO All Authority: Multi-RAE PLUS Fund,549300DLC8MKXQ8KIH64,US72203G8270,SEC-NPORT,,,,,,unresolved
S000077192,NEOS Enhanced Income Aggregate Bond ETF,549300DPLDPJIDKCEQ92,US78433H4020,GLEIF,BBG019CHMSZ4,BBG019CHMV14,BNDI,,,unresolved
S000077194,NEOS S&P 500(R) High Income ETF,549300NX1HAR3SKHZS84,US78433H3030,GLEIF,BBG019C1XZZ1,BBG019C1Y0V1,SPYI,,,unresolved
S000077356,Invesco BulletShares 2032 Corporate Bond ETF,5493007MAFSR8RWIXD15,US46139W8588,SEC-NPORT,BBG019JCS831,BBG019JCS8Z6,BSCW,,,unresolved
S000077466,TCW Transform Supply Chain ETF,549300BZBOUXPR1GAB63,US29287L3042,SEC-NPORT,BBG01F2YGX17,BBG01F2YGXW3,SUPP,,,unresolved
S000077474,AST PGIM Fixed Income Central Portfolio,5493004PPIB4NJOLH005,US00771J4691,GLEIF,,,,,,unresolved
S000077479,FT Vest Rising Dividend Achievers Target Income ETF,549300TMD9HIN9ZLU862,US33738D8790,SEC-NPORT,BBG019WLSQM5,BBG019WLSRG0,RDVI,,,unresolved
S000077554,GMO Small Cap Quality Fund,549300BRUDL08K13VQ63,US36256V4941,SEC-NPORT,BBG019K6PFN7,BBG019M3RMF4,GSBGX,,,unresolved
S000077598,NYLI Candriam U.S. Mid Cap Equity ETF,549300VMUJT2XIEGEU85,US45409B2482,SEC-NPORT,BBG01B5GNSM2,BBG01B5GNTH6,IQSM,,,unresolved
S000077600,NYLI MacKay High Income ETF,5493006GCBGULIUNP989,US45409F7362,SEC-NPORT,BBG01B5GGB83,BBG01B5GGC45,IQHI,,,unresolved
S000077603,First Trust Indxx Aerospace & Defense ETF,549300JW3W23RZME4D92,US33733E8315,SEC-NPORT,BBG01B34YSW8,BBG01B34YSX7,MISL,,,unresolved
S000077654,YieldMax GOOGL Option Income Strategy ETF,5493009IF5UN4O7FP638,US88634T7900,SEC-NPORT,BBG01HP10WH2,BBG01HP10XF2,GOOY,,,unresolved
S000077785,BNY Mellon Global Infrastructure Income ETF,549300YLSH2PGMAU3I54,US09661T8264,SEC-NPORT,BBG01B7B20H1,BBG01B7B21C4,BKGI,,,unresolved
S000077805,AllianzIM U.S. Equity Buffer20 Nov ETF,549300RBORQPR2FI2K30,US00888H8447,SEC-NPORT,BBG01B8725F0,BBG01B8726R5,NVBW,,,unresolved
S000077806,AllianzIM U.S. Equity Buffer20 Dec ETF,549300Z2F4IOF4GJDS53,US00888H7944,SEC-NPORT,BBG01BM21FF4,BBG01BM21GB6,DECW,,,unresolved
S000077807,AllianzIM U.S. Equity Buffer20 Feb ETF,549300V9EWYRNOB0Q459,US00888H7860,SEC-NPORT,BBG01DCCD5M0,BBG01DCCD6G5,FEBW,,,unresolved
S000077808,AllianzIM U.S. Equity Buffer20 Mar ETF,549300YOTOCLYBLKVS13,US00888H7787,SEC-NPORT,BBG01FC8GTS3,BBG01FC8GVM4,MARW,,,unresolved
S000077857,Simplify Short Term Treasury Futures Strategy ETF,549300YIMTGOZR5X9280,US82889N6572,GLEIF,BBG01BFJ3SS1,BBG01BFJ3TM5,TUA,,,unresolved
S000077868,Simplify Enhanced Income ETF,549300OJXAJOLCPWKP49,US82889N6325,GLEIF,BBG01B861FF1,BBG01B861GC2,HIGH,,,unresolved
